experiment,checkpoint,agent,agent1_rew,agent2_rew,agent3_rew,agent4_rew,vs_random,agent_random
experiments/ppo_train/shared_rainbow_double_dunk_v2_RB1000000_F50000000_S0,005000000,first_0,-24.0,nan,nan,nan,False,False
experiments/ppo_train/shared_rainbow_double_dunk_v2_RB1000000_F50000000_S0,005500000,first_0,-23.979591836734695,nan,nan,nan,False,False
experiments/ppo_train/shared_rainbow_double_dunk_v2_RB1000000_F50000000_S0,006000000,first_0,-23.805825242718445,nan,nan,nan,False,False
experiments/ppo_train/shared_rainbow_double_dunk_v2_RB1000000_F50000000_S0,006500000,first_0,-24.0,nan,nan,nan,False,False
experiments/ppo_train/shared_rainbow_double_dunk_v2_RB1000000_F50000000_S0,007000000,first_0,-23.76,nan,nan,nan,False,False
experiments/ppo_train/shared_rainbow_double_dunk_v2_RB1000000_F50000000_S0,007500000,first_0,-24.0,nan,nan,nan,False,False
experiments/ppo_train/shared_rainbow_double_dunk_v2_RB1000000_F50000000_S0,008000000,first_0,-23.818181818181817,nan,nan,nan,False,False
experiments/ppo_train/shared_rainbow_double_dunk_v2_RB1000000_F50000000_S0,008500000,first_0,-23.85,nan,nan,nan,False,False
experiments/ppo_train/shared_rainbow_double_dunk_v2_RB1000000_F50000000_S0,009000000,first_0,-23.813333333333333,nan,nan,nan,False,False
experiments/ppo_train/shared_rainbow_double_dunk_v2_RB1000000_F50000000_S0,009500000,first_0,-23.97590361445783,nan,nan,nan,False,False
experiments/ppo_train/shared_ppo_boxing_v1_RB1_F50000000_S0,000500000,first_0,-1.647887323943662,nan,nan,nan,False,False
experiments/ppo_train/shared_rainbow_double_dunk_v2_RB1000000_F50000000_S0,010000000,first_0,-23.89041095890411,nan,nan,nan,False,False
experiments/ppo_train/shared_rainbow_double_dunk_v2_RB1000000_F50000000_S0,010500000,first_0,-23.741935483870968,nan,nan,nan,False,False
experiments/ppo_train/shared_rainbow_double_dunk_v2_RB1000000_F50000000_S0,011000000,first_0,-24.0,nan,nan,nan,False,False
experiments/ppo_train/shared_rainbow_double_dunk_v2_RB1000000_F50000000_S0,011500000,first_0,-23.951219512195124,nan,nan,nan,False,False
experiments/ppo_train/shared_rainbow_double_dunk_v2_RB1000000_F50000000_S0,012000000,first_0,-23.89041095890411,nan,nan,nan,False,False
experiments/ppo_train/shared_rainbow_double_dunk_v2_RB1000000_F50000000_S0,012500000,first_0,-23.80246913580247,nan,nan,nan,False,False
experiments/ppo_train/shared_rainbow_double_dunk_v2_RB1000000_F50000000_S0,013000000,first_0,-24.0,nan,nan,nan,False,False
experiments/ppo_train/shared_rainbow_double_dunk_v2_RB1000000_F50000000_S0,013500000,first_0,-24.0,nan,nan,nan,False,False
experiments/ppo_train/shared_rainbow_double_dunk_v2_RB1000000_F50000000_S0,014000000,first_0,-23.78787878787879,nan,nan,nan,False,False
experiments/ppo_train/shared_rainbow_double_dunk_v2_RB1000000_F50000000_S0,014500000,first_0,-23.904761904761905,nan,nan,nan,False,False
experiments/ppo_train/shared_ppo_boxing_v1_RB1_F50000000_S0,001000000,first_0,-16.661971830985916,nan,nan,nan,False,False
experiments/ppo_train/shared_rainbow_double_dunk_v2_RB1000000_F50000000_S0,015000000,first_0,-24.0,nan,nan,nan,False,False
experiments/ppo_train/shared_rainbow_double_dunk_v2_RB1000000_F50000000_S0,015500000,first_0,-24.0,nan,nan,nan,False,False
experiments/ppo_train/shared_rainbow_double_dunk_v2_RB1000000_F50000000_S0,016000000,first_0,-24.0,nan,nan,nan,False,False
experiments/ppo_train/shared_rainbow_double_dunk_v2_RB1000000_F50000000_S0,016500000,first_0,-24.0,nan,nan,nan,False,False
experiments/ppo_train/shared_rainbow_double_dunk_v2_RB1000000_F50000000_S0,017000000,first_0,-24.0,nan,nan,nan,False,False
experiments/ppo_train/shared_rainbow_double_dunk_v2_RB1000000_F50000000_S0,017500000,first_0,-24.0,nan,nan,nan,False,False
experiments/ppo_train/shared_rainbow_double_dunk_v2_RB1000000_F50000000_S0,018000000,first_0,-24.0,nan,nan,nan,False,False
experiments/ppo_train/shared_rainbow_double_dunk_v2_RB1000000_F50000000_S0,018500000,first_0,-24.0,nan,nan,nan,False,False
experiments/ppo_train/shared_rainbow_double_dunk_v2_RB1000000_F50000000_S0,019000000,first_0,-23.92982456140351,nan,nan,nan,False,False
experiments/ppo_train/shared_rainbow_double_dunk_v2_RB1000000_F50000000_S0,019500000,first_0,-23.979591836734695,nan,nan,nan,False,False
experiments/ppo_train/shared_ppo_boxing_v1_RB1_F50000000_S0,001500000,first_0,-2.507042253521127,nan,nan,nan,False,False
experiments/ppo_train/shared_rainbow_double_dunk_v2_RB1000000_F50000000_S0,020000000,first_0,-24.0,nan,nan,nan,False,False
experiments/ppo_train/shared_rainbow_double_dunk_v2_RB1000000_F50000000_S0,020500000,first_0,-24.0,nan,nan,nan,False,False
experiments/ppo_train/shared_rainbow_double_dunk_v2_RB1000000_F50000000_S0,021000000,first_0,-24.0,nan,nan,nan,False,False
experiments/ppo_train/shared_rainbow_double_dunk_v2_RB1000000_F50000000_S0,021500000,first_0,-24.0,nan,nan,nan,False,False
experiments/ppo_train/shared_rainbow_double_dunk_v2_RB1000000_F50000000_S0,022000000,first_0,-24.0,nan,nan,nan,False,False
experiments/ppo_train/shared_rainbow_double_dunk_v2_RB1000000_F50000000_S0,022500000,first_0,-23.728155339805824,nan,nan,nan,False,False
experiments/ppo_train/shared_rainbow_double_dunk_v2_RB1000000_F50000000_S0,023000000,first_0,-22.564102564102566,nan,nan,nan,False,False
experiments/ppo_train/shared_rainbow_double_dunk_v2_RB1000000_F50000000_S0,023500000,first_0,-19.76271186440678,nan,nan,nan,False,False
experiments/ppo_train/shared_rainbow_double_dunk_v2_RB1000000_F50000000_S0,024000000,first_0,-20.555555555555557,nan,nan,nan,False,False
experiments/ppo_train/shared_rainbow_double_dunk_v2_RB1000000_F50000000_S0,024500000,first_0,-21.235294117647058,nan,nan,nan,False,False
experiments/ppo_train/shared_ppo_boxing_v1_RB1_F50000000_S0,002000000,first_0,-4.464788732394366,nan,nan,nan,False,False
experiments/ppo_train/shared_rainbow_double_dunk_v2_RB1000000_F50000000_S0,025000000,first_0,-20.65753424657534,nan,nan,nan,False,False
experiments/ppo_train/shared_rainbow_double_dunk_v2_RB1000000_F50000000_S0,025500000,first_0,-19.91304347826087,nan,nan,nan,False,False
experiments/ppo_train/shared_rainbow_double_dunk_v2_RB1000000_F50000000_S0,026000000,first_0,-19.833333333333332,nan,nan,nan,False,False
experiments/ppo_train/shared_rainbow_double_dunk_v2_RB1000000_F50000000_S0,026500000,first_0,-19.017543859649123,nan,nan,nan,False,False
experiments/ppo_train/shared_rainbow_double_dunk_v2_RB1000000_F50000000_S0,027000000,first_0,-18.89189189189189,nan,nan,nan,False,False
experiments/ppo_train/shared_rainbow_double_dunk_v2_RB1000000_F50000000_S0,027500000,first_0,-20.953488372093023,nan,nan,nan,False,False
experiments/ppo_train/shared_rainbow_double_dunk_v2_RB1000000_F50000000_S0,028000000,first_0,-19.487179487179485,nan,nan,nan,False,False
experiments/ppo_train/shared_rainbow_double_dunk_v2_RB1000000_F50000000_S0,028500000,first_0,-19.653333333333332,nan,nan,nan,False,False
